"Lat_diff","DOM","followers","price","square","floor","subway","HouseAge","communityAverage","elevator"
0.449767999999999,165,39,48994,163.49,31,"1",16,49933,"1"
0.506063999999995,165,123,21792,307,23,"0",18,39114,"1"
0.447544999999998,115,30,80133,157.24,12,"1",16,77927,"1"
0.283466999999995,180,32,63555,166,6,"0",8,54824,"1"
0.342993,154,81,103380,140.26,18,"1",16,97078,"1"
0.330373999999999,150,165,70438,138.42,24,"1",16,81624,"1"
0.374503999999995,271,69,41317,164.1,6,"0",9,39294,"1"
0.429819999999999,186,38,68832,164.17,25,"1",22,54582,"1"
0.529007999999997,179,47,51732,161.99,12,"1",13,52197,"1"
0.454155999999998,142,54,59542,131,22,"1",16,65595,"1"
0.416134999999997,169,33,134465,173.28,10,"1",4,107540,"1"
0.246401999999996,179,3,41202,143.2,16,"0",10,41003,"1"
0.341615999999995,179,508,78042,130.7,6,"1",14,96498,"0"
0.518667999999998,194,45,39420,210.05,6,"1",12,46352,"0"
0.344828,166,46,129634,131.91,15,"1",13,120447,"1"
0.196632000000001,116,107,22414,142.77,6,"1",13,29747,"0"
0.303840999999998,243,4,33859,208.81,19,"1",11,36432,"1"
0.462927000000001,105,37,91030,173.57,21,"1",13,92196,"1"
0.506063999999995,125,13,29623,167.44,23,"1",18,39114,"1"
0.163863999999997,125,54,15556,270,11,"1",9,30846,"1"
0.442155999999997,172,82,62331,133,26,"1",20,60348,"1"
0.522371999999997,160,79,33101,191.84,7,"0",12,38281,"0"
0.407980999999999,105,80,76450,138,16,"0",12,113596,"1"
0.261815999999996,123,42,41637,139.54,11,"0",10,46692,"1"
0.428933000000001,113,36,63484,181.15,26,"1",17,64245,"1"
0.379311999999999,139,139,62012,140.78,20,"0",8,56192,"1"
0.311533999999995,167,44,47071,175.27,6,"0",12,47736,"1"
0.394788999999996,141,34,103311,227.47,31,"0",11,107168,"1"
0.311533999999995,114,48,48711,174.5,7,"0",11,47736,"1"
0.288996999999995,184,163,65154,151.95,6,"0",12,90048,"0"
0.419584999999998,139,60,71821,138.68,18,"1",18,75239,"1"
0.132062999999995,171,68,44339,136,25,"1",3,43597,"1"
0.373080999999999,175,124,49621,160.62,6,"1",22,66171,"0"
0.323809999999995,227,155,146840,241.76,6,"0",9,123087,"1"
0.425587,111,5,106991,294.42,25,"1",5,146493,"1"
0.197575999999998,113,9,44251,159.32,10,"0",12,40927,"1"
0.517795999999997,147,121,32293,216.77,18,"1",14,37661,"1"
0.412346999999997,135,34,53360,151.8,22,"1",19,75591,"1"
0.323930999999995,155,33,36793,139.16,6,"0",15,40026,"0"
0.456871,156,93,101135,139.22,26,"1",10,82517,"1"
0.506974,136,52,23616,177,6,"0",22,37870,"0"
0.333658,113,101,72193,187,15,"1",15,77757,"1"
0.437570000000001,105,121,88518,158.16,16,"1",12,86353,"1"
0.454009999999997,113,39,57447,235,6,"1",19,59002,"1"
0.325409000000001,116,101,118988,137.83,9,"1",15,97851,"1"
0.428579999999997,314,72,39009,158.94,18,"1",15,40971,"1"
0.328410999999996,171,111,84248,137.69,6,"1",18,104198,"0"
0.413028999999995,100,56,83087,337,6,"0",12,100577,"1"
0.400357,269,282,61599,152.6,12,"0",17,62404,"1"
0.426465999999998,114,61,59673,239.64,24,"1",16,79739,"1"
0.36401,109,40,55324,140.99,14,"0",14,60013,"1"
0.361655999999996,100,3,66402,135.54,42,"1",12,68486,"1"
0.429150999999997,116,41,69277,136.41,14,"1",15,61993,"1"
0.509841999999999,162,71,62403,147.11,5,"0",17,67509,"0"
0.380291,117,162,78988,197.5,6,"1",19,92576,"0"
0.326569999999997,107,96,80951,144.78,15,"1",11,70638,"1"
0.303840999999998,176,22,36349,208.81,19,"1",11,36432,"1"
0.666056999999995,161,17,36693,130,6,"1",14,32820,"0"
0.342192999999995,113,97,81125,221.88,12,"1",11,87553,"1"
0.384529999999998,188,206,81857,140.49,28,"0",11,91231,"1"
0.352103,149,44,54502,137.61,28,"1",17,52587,"1"
0.389324999999999,130,9,89431,135.86,17,"1",17,83166,"1"
0.442155999999997,98,40,59120,142.93,25,"1",18,60348,"1"
0.328410999999996,164,38,107305,134.85,6,"1",18,104198,"0"
0.405481999999999,116,80,59008,143.71,27,"1",13,64395,"1"
0.320532999999998,148,31,57992,267.28,15,"0",15,68026,"1"
0.399856999999997,117,45,53232,225.43,12,"1",23,59499,"1"
0.512065999999997,172,23,29118,211.21,6,"0",16,40934,"0"
0.379587999999998,155,54,62769,130.32,27,"0",11,58092,"1"
